eenheid	omschrijving	open
k(hac)	bermen, perceelsranden, ë met buntgrasverbond	FALSE
k(hac+)	bermen, perceelsranden, ë met buntgrasverbond, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(had-)	bermen, perceelsranden, . met droog duingrasland van kalkarme milieus, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(had)	bermen, perceelsranden, . met droog duingrasland van kalkarme milieus	FALSE
k(had+)	bermen, perceelsranden, . met droog duingrasland van kalkarme milieus, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(hat-)	bermen, perceelsranden, ë met dwerghaververbond, weinig in aantal maar relatief goed ontwikkeld	TRUE
k(hat)	bermen, perceelsranden, ë met dwerghaververbond	TRUE
k(hat+)	bermen, perceelsranden, ë met dwerghaververbond, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
k(hc-)	bermen, perceelsranden,  ... met dotterbloemgrasland, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(hc)	bermen, perceelsranden,  ... met dotterbloemgrasland	FALSE
k(hc+)	bermen, perceelsranden,  ... met dotterbloemgrasland, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(hd-)	bermen, perceelsranden,  ... met droog duingrasland van kalkrijke milieus, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(hd)	bermen, perceelsranden,  ... met droog duingrasland van kalkrijke milieus	FALSE
k(hd+)	bermen, perceelsranden,  ... met droog duingrasland van kalkrijke milieus, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(hf-)	bermen, perceelsranden,  ... met  moerasspirearuigte, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(hf)	bermen, perceelsranden,  ... met  moerasspirearuigte	FALSE
k(hf+)	bermen, perceelsranden,  ... met  moerasspirearuigte, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(hfb-)	bermen, perceelsranden,  ... met  moerasspirearuigte en met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(hfb)	bermen, perceelsranden,  ... met  moerasspirearuigte en met beperkte opslag van struiken en bomen	FALSE
k(hfb+)	bermen, perceelsranden,  ... met  moerasspirearuigte en met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(hfc-)	bermen, perceelsranden,  ...  met moerasspirearuigte met moesdistel, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(hfc)	bermen, perceelsranden,  ...  met moerasspirearuigte met moesdistel	FALSE
k(hfc+)	bermen, perceelsranden,  ...  met moerasspirearuigte met moesdistel, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(hfl-)	bermen, perceelsranden,  ...  met natte ruigte met grote wederik en hennegras, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(hfl)	bermen, perceelsranden,  ...  met natte ruigte met grote wederik en hennegras	FALSE
k(hfl+)	bermen, perceelsranden,  ...  met natte ruigte met grote wederik en hennegras, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(hft-)	bermen, perceelsranden,  ...  met moerasspirearuigte met poelruit, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(hft)	bermen, perceelsranden,  ...  met moerasspirearuigte met poelruit	FALSE
k(hft+)	bermen, perceelsranden,  ...  met moerasspirearuigte met poelruit, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(hj-)	bermen, perceelsranden,  ...  met vochtig grasland gedomineerd door russen, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(hj)	bermen, perceelsranden,  ...  met vochtig grasland gedomineerd door russen	FALSE
k(hj+)	bermen, perceelsranden,  ...  met vochtig grasland gedomineerd door russen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(hjb-)	bermen, perceelsranden,  ...  met vochtig grasland gedomineerd door russen en met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(hjb)	bermen, perceelsranden,  ...  met vochtig grasland gedomineerd door russen en met beperkte opslag van struiken en bomen	FALSE
k(hjb+)	bermen, perceelsranden,  ...  met vochtig grasland gedomineerd door russen en met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(hk-)	bermen, perceelsranden,  ...  met kalkgrasland, weinig in aantal maar relatief goed ontwikkeld	TRUE
k(hk)	bermen, perceelsranden,  ...  met kalkgrasland	TRUE
k(hk+)	bermen, perceelsranden,  ...  met kalkgrasland, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
k(hm-)	bermen, perceelsranden,  ... met  vochtig schraalgrasland, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(hm)	bermen, perceelsranden,  ... met  vochtig schraalgrasland	FALSE
k(hm+)	bermen, perceelsranden,  ... met  vochtig schraalgrasland, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(hn-)	bermen, perceelsranden,  ... met  droog heischraal grasland, weinig in aantal maar relatief goed ontwikkeld	TRUE
k(hn)	bermen, perceelsranden,  ... met  droog heischraal grasland	TRUE
k(hn+)	bermen, perceelsranden,  ... met  droog heischraal grasland, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
k(hp)	bermen, perceelsranden,  ...  met soortenarm permanent cultuurgrasland	TRUE
k(hp+)	bermen, perceelsranden,  ...  met soortenrijk permanent cultuurgasland	TRUE
k(hr-)	bermen, perceelsranden,  ...  met verruigd grasland, weinig in aantal maar relatief goed ontwikkeld	TRUE
k(hr)	bermen, perceelsranden,  ...  met verruigd grasland	TRUE
k(hr+)	bermen, perceelsranden,  ...  met verruigd grasland, zeer soortenrijk en/of veel voorkomend	TRUE
k(hrb-)	bermen, perceelsranden,  ...  met verruigd grasland en met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	TRUE
k(hrb)	bermen, perceelsranden,  ...  met verruigd grasland en met beperkte opslag van struiken en bomen	TRUE
k(hrb+)	bermen, perceelsranden,  ...  met verruigd grasland en met beperkte opslag van struiken en bomen, zeer soortenrijk en/of veel voorkomend	TRUE
k(hu-)	bermen, perceelsranden,  ...  met mesofiel hooiland, weinig in aantal maar relatief goed ontwikkeld	TRUE
k(hu)	bermen, perceelsranden,  ...  met mesofiel hooiland	TRUE
k(hu+)	bermen, perceelsranden,  ...  met mesofiel hooiland, (zeer) veel in aantal en/of biotoop zeer soortenrijk	TRUE
k(ku-)	bermen, perceelsranden,  ...  met ruigte of pioniersvegetatie, weinig in aantal maar relatief goed ontwikkeld	TRUE
k(ku)	bermen, perceelsranden,  ...  met ruigte of pioniersvegetatie	TRUE
k(ku+)	bermen, perceelsranden,  ...  met ruigte of pioniersvegetatie, zeer soortenrijk en/of veel voorkomend	TRUE
k(kub-)	bermen, perceelsranden,  ...  met ruigte of pioniersvegetatie en met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	TRUE
k(kub)	bermen, perceelsranden,  ...  met ruigte of pioniersvegetatie en met beperkte opslag van struiken en bomen	TRUE
k(kub+)	bermen, perceelsranden,  ...  met ruigte of pioniersvegetatie en met beperkte opslag van struiken en bomen, zeer soortenrijk en/of veel voorkomend	TRUE
k(mc-)	bermen, perceelsranden,  ...  met grote zeggenvegetatie, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(mc)	bermen, perceelsranden,  ...  met grote zeggenvegetatie	FALSE
k(mc+)	bermen, perceelsranden,  ...  met grote zeggenvegetatie, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(mcb-)	bermen, perceelsranden,  ...  met grote zeggenvegetatie en met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(mcb)	bermen, perceelsranden,  ...  met grote zeggenvegetatie en met beperkte opslag van struiken en bomen	FALSE
k(mcb+)	bermen, perceelsranden,  ...  met grote zeggenvegetatie en met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(mr-)	bermen, perceelsranden,  ... met rietland en andere vegetaties van het rietverbond, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(mr)	bermen, perceelsranden,  ... met rietland en andere vegetaties van het rietverbond	FALSE
k(mr+)	bermen, perceelsranden,  ... met rietland en andere vegetaties van het rietverbond, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(mrb-)	bermen, perceelsranden,  ... met rietland en andere vegetaties van het rietverbond en met beperkte opslag van struiken en bomen, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(mrb)	bermen, perceelsranden,  ... met rietland en andere vegetaties van het rietverbond en met beperkte opslag van struiken en bomen	FALSE
k(mrb+)	bermen, perceelsranden,  ... met rietland en andere vegetaties van het rietverbond en met beperkte opslag van struiken en bomen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(mru-)	bermen, perceelsranden,  ... met rietruigte, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(mru)	bermen, perceelsranden,  ... met rietruigte	FALSE
k(mru+)	bermen, perceelsranden,  ... met rietruigte, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(ms-)	bermen, perceelsranden,  ... met zuur laagveen, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(ms)	bermen, perceelsranden,  ... met zuur laagveen	FALSE
k(ms+)	bermen, perceelsranden,  ... met zuur laagveen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
k(mz-)	bermen, perceelsranden,  ... met brak tot zilt moeras met heen, weinig in aantal maar relatief goed ontwikkeld	FALSE
k(mz)	bermen, perceelsranden,  ... met brak tot zilt moeras met heen	FALSE
k(mz+)	bermen, perceelsranden,  ... met brak tot zilt moeras met heen, (zeer) veel in aantal en/of biotoop zeer soortenrijk	FALSE
ka	eendenkooi	FALSE
ka-	eendenkooi, zwak ontwikkeld en/of weinig voorkomend	FALSE
ka+	eendenkooi, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kb	bomenrij	FALSE
kb-	bomenrij, zwak ontwikkeld en/of weinig voorkomend	FALSE
kb+	bomenrij, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kba	bomenrij met dominantie van els (Alnus sp.)	FALSE
kba-	bomenrij met dominantie van els (Alnus sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
kba+	bomenrij met dominantie van els (Alnus sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbac	bomenrij met dominantie van esdoorn (Acer sp.)	FALSE
kbac-	bomenrij met dominantie van esdoorn (Acer sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbac+	bomenrij met dominantie van esdoorn (Acer sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbae	bomenrij met dominantie van paardekastanje (Aesculus sp.)	FALSE
kbae-	bomenrij met dominantie van paardekastanje (Aesculus sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbae+	bomenrij met dominantie van paardekastanje (Aesculus sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbb	bomenrij met dominantie van berk (Betulus sp.)	FALSE
kbb-	bomenrij met dominantie van berk (Betulus sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbb+	bomenrij met dominantie van berk (Betulus sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbc	bomenrij met dominantie van tamme kastanje (Castanea sativa)	FALSE
kbc-	bomenrij met dominantie van tamme kastanje (Castanea sativa), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbc+	bomenrij met dominantie van tamme kastanje (Castanea sativa), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbca	bomenrij met dominantie van haagbeuk (Carpinus betulus)	FALSE
kbca-	bomenrij met dominantie van haagbeuk (Carpinus betulus), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbca+	bomenrij met dominantie van haagbeuk (Carpinus betulus), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbco	bomenrij met dominantie van hazelaar	FALSE
kbco-	bomenrij met dominantie van hazelaar, zwak ontwikkeld en/of weinig voorkomend	FALSE
kbco+	bomenrij met dominantie van hazelaar, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbcr	bomenrij met dominantie van meidoorn (Crataegus sp.)	FALSE
kbcr-	bomenrij met dominantie van meidoorn (Crataegus sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbcr+	bomenrij met dominantie van meidoorn (Crataegus sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbf	bomenrij met dominantie van beuk (Fagus sylvatica)	FALSE
kbf-	bomenrij met dominantie van beuk (Fagus sylvatica), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbf+	bomenrij met dominantie van beuk (Fagus sylvatica), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbfr	bomenrij met dominantie van gewone es (Fraxinus excelsior)	FALSE
kbfr-	bomenrij met dominantie van gewone es (Fraxinus excelsior), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbfr+	bomenrij met dominantie van gewone es (Fraxinus excelsior), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbgml	bomenrij met gemengd loofhout	FALSE
kbgml-	bomenrij met gemengd loofhout, zwak ontwikkeld en/of weinig voorkomend	FALSE
kbgml+	bomenrij met gemengd loofhout, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbgmn	bomenrij met gemengd naaldhout	FALSE
kbgmn-	bomenrij met gemengd naaldhout, zwak ontwikkeld en/of weinig voorkomend	FALSE
kbgmn+	bomenrij met gemengd naaldhout, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbj	bomenrij met dominantie van okkernoot (Juglans regia)	FALSE
kbj-	bomenrij met dominantie van okkernoot (Juglans regia), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbj+	bomenrij met dominantie van okkernoot (Juglans regia), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kblar	bomenrij met dominantie van lork (Larix sp.)	FALSE
kblar-	bomenrij met dominantie van lork (Larix sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
kblar+	bomenrij met dominantie van lork (Larix sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbp	bomenrij met dominantie van populier (Populus sp.)	FALSE
kbp-	bomenrij met dominantie van populier (Populus sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbp+	bomenrij met dominantie van populier (Populus sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbpica	bomenrij met dominantie van fijnspar (Picea abies)	FALSE
kbpica-	bomenrij met dominantie van fijnspar (Picea abies), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbpica+	bomenrij met dominantie van fijnspar (Picea abies), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbpinn	bomenrij met dominantie van zwarte  den (Pinus nigra)	FALSE
kbpinn-	bomenrij met dominantie van zwarte  den (Pinus nigra), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbpinn+	bomenrij met dominantie van zwarte  den (Pinus nigra), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbpins	bomenrij met dominantie van grove den (Pinus sylvestris)	FALSE
kbpins-	bomenrij met dominantie van grove den (Pinus sylvestris), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbpins+	bomenrij met dominantie van grove den (Pinus sylvestris), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbpl	bomenrij met dominantie van plataan (Platanus sp.)	FALSE
kbpl-	bomenrij met dominantie van plataan (Platanus sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbpl+	bomenrij met dominantie van plataan (Platanus sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbpr	bomenrij met dominantie van Amerikaanse vogelkers (Prunus serotina)	FALSE
kbpr-	bomenrij met dominantie van Amerikaanse vogelkers (Prunus serotina), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbpr+	bomenrij met dominantie van Amerikaanse vogelkers (Prunus serotina), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbprua	bomenrij met dominantie van zoete kers (Prunus Avium)	FALSE
kbprua-	bomenrij met dominantie van zoete kers (Prunus Avium), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbprua+	bomenrij met dominantie van zoete kers (Prunus Avium), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbpse	bomenrij met dominantie van Dougglasspar	FALSE
kbpse-	bomenrij met dominantie van Dougglasspar, zwak ontwikkeld en/of weinig voorkomend	FALSE
kbpse+	bomenrij met dominantie van Dougglasspar, goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbpt	bomenrij met dominantie van ratelpopulier (Populus tremula)	FALSE
kbpt-	bomenrij met dominantie van ratelpopulier (Populus tremula), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbpt+	bomenrij met dominantie van ratelpopulier (Populus tremula), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbq	bomenrij met dominantie van zomereik (Quercus robur)	FALSE
kbq-	bomenrij met dominantie van zomereik (Quercus robur), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbq+	bomenrij met dominantie van zomereik (Quercus robur), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbqr	bomenrij met dominantie van Amerikaanse eik (Quercus rubra)	FALSE
kbqr-	bomenrij met dominantie van Amerikaanse eik (Quercus rubra), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbqr+	bomenrij met dominantie van Amerikaanse eik (Quercus rubra), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbr	bomenrij met dominantie van robinia (Robinia pseudoacacia)	FALSE
kbr-	bomenrij met dominantie van robinia (Robinia pseudoacacia), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbr+	bomenrij met dominantie van robinia (Robinia pseudoacacia), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbs	bomenrij met dominantie van (al dan niet geknotte) wilg (Salix sp.)	FALSE
kbs-	bomenrij met dominantie van (al dan niet geknotte) wilg (Salix sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbs+	bomenrij met dominantie van (al dan niet geknotte) wilg (Salix sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbt	bomenrij met dominantie van linde (Tilia sp.)	FALSE
kbt-	bomenrij met dominantie van linde (Tilia sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbt+	bomenrij met dominantie van linde (Tilia sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kbu	bomenrij met dominantie van iep (Ulmus sp.)	FALSE
kbu-	bomenrij met dominantie van iep (Ulmus sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
kbu+	bomenrij met dominantie van iep (Ulmus sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
kc	groeve	FALSE
kd	dijk	TRUE
kd-	dijk, deels afgegraven dijk of recente lage dijk	TRUE
kd+	dijk, dijk met soortenrijke begroeiing	TRUE
kf	voormalig militair fort	FALSE
kf-	voormalig militair fort, bunker of fort met geen of louter weinig interessante vegetaties	FALSE
kg	terril	FALSE
kh	houtkant	TRUE
kh-	houtkant, zwak ontwikkeld en/of weinig voorkomend	TRUE
kh(fa-)	houtkant met beukenbos met voorjaarsflora, zonder wilde hyacint, weinig	FALSE
kh(fa)	houtkant met beukenbos met voorjaarsflora, zonder wilde hyacint	FALSE
kh(fa+)	houtkant met beukenbos met voorjaarsflora, zonder wilde hyacint, veel (en meestal goed ontwikkeld)	FALSE
kh(fe-)	houtkant met beukenbos met wilde hyacint, weinig	FALSE
kh(fe)	houtkant met beukenbos met wilde hyacint	FALSE
kh(fe+)	houtkant met beukenbos met wilde hyacint, veel (en meestal goed ontwikkeld)	FALSE
kh(fk-)	houtkant met beukenbos op mergel, weinig	FALSE
kh(fk)	houtkant met beukenbos op mergel	FALSE
kh(fk+)	houtkant met beukenbos op mergel, veel (en meestal goed ontwikkeld)	FALSE
kh(fl-)	houtkant met beukenbos met witte veldbies, weinig	FALSE
kh(fl)	houtkant met beukenbos met witte veldbies	FALSE
kh(fl+)	houtkant met beukenbos met witte veldbies, veel (en meestal goed ontwikkeld)	FALSE
kh(fm-)	houtkant met beukenbos met parelgras en lievevrouwebedstro, weinig	FALSE
kh(fm)	houtkant met beukenbos met parelgras en lievevrouwebedstro	FALSE
kh(fm+)	houtkant met beukenbos met parelgras en lievevrouwebedstro, veel (en meestal goed ontwikkeld)	FALSE
kh(fs-)	houtkant met zuur beukenbos, weinig	FALSE
kh(fs)	houtkant met zuur beukenbos	FALSE
kh(fs+)	houtkant met zuur beukenbos, veel (en meestal goed ontwikkeld)	FALSE
kh(qa-)	houtkant met eiken-haagbeukenbos, weinig	FALSE
kh(qa)	houtkant met eiken-haagbeukenbos	FALSE
kh(qa+)	houtkant met eiken-haagbeukenbos, veel (en meestal goed ontwikkeld)	FALSE
kh(qb-)	houtkant met eiken-berkenbos, weinig	FALSE
kh(qb)	houtkant met eiken-berkenbos	FALSE
kh(qb+)	houtkant met eiken-berkenbos, veel (en meestal goed ontwikkeld)	FALSE
kh(qe-)	houtkant met eiken- haagbeukenbos met wilde hyacint, weinig	FALSE
kh(qe)	houtkant met eiken- haagbeukenbos met wilde hyacint	FALSE
kh(qe+)	houtkant met eiken- haagbeukenbos met wilde hyacint, veel (en meestal goed ontwikkeld)	FALSE
kh(qk-)	houtkant met eiken- haagbeukenbos op mergel, weinig	FALSE
kh(qk)	houtkant met eiken- haagbeukenbos op mergel	FALSE
kh(qk+)	houtkant met eiken- haagbeukenbos op mergel, veel (en meestal goed ontwikkeld)	FALSE
kh(ql-)	houtkant met eikenbos met witte veldbies, weinig	FALSE
kh(ql)	houtkant met eikenbos met witte veldbies	FALSE
kh(ql+)	houtkant met eikenbos met witte veldbies, veel (en meestal goed ontwikkeld)	FALSE
kh(qs-)	houtkant met zuur eikenbos, weinig	FALSE
kh(qs)	houtkant met zuur eikenbos	FALSE
kh(qs+)	houtkant met zuur eikenbos, veel (en meestal goed ontwikkeld)	FALSE
kh(sf-)	houtkant met vochtig wilgenstruweel op voedselrijke bodem, weinig	FALSE
kh(sf)	houtkant met vochtig wilgenstruweel op voedselrijke bodem	FALSE
kh(sf+)	houtkant met vochtig wilgenstruweel op voedselrijke bodem, veel (en meestal goed ontwikkeld)	FALSE
kh(sg-)	houtkant met brem- en gaspeldoornstruweel, weinig (en meestal slecht ontwikkeld)	TRUE
kh(sg)	houtkant met brem- en gaspeldoornstruweel	TRUE
kh(sg+)	houtkant met brem- en gaspeldoornstruweel, veel (en meestal goed ontwikkeld)	TRUE
kh(sk-)	houtkant met struweel op kalkrijke bodem, weinig (en meestal slecht ontwikkeld)	TRUE
kh(sk)	houtkant met struweel op kalkrijke bodem	TRUE
kh(sk+)	houtkant met struweel op kalkrijke bodem, veel (en meestal goed ontwikkeld)	TRUE
kh(sm-)	houtkant met gagelstruweel, weinig (en meestal slecht ontwikkeld)	FALSE
kh(sm)	houtkant met gagelstruweel	FALSE
kh(sm+)	houtkant met gagelstruweel, veel (en meestal goed ontwikkeld)	FALSE
kh(so-)	houtkant met vochtig wilgenstruweel op venige of zure grond, weinig (en meestal slecht ontwikkeld)	FALSE
kh(so)	houtkant met vochtig wilgenstruweel op venige of zure grond	FALSE
kh(so+)	houtkant met vochtig wilgenstruweel op venige of zure grond, veel (en meestal goed ontwikkeld)	FALSE
kh(sp-)	houtkant met doornstruweel, weinig (en meestal slecht ontwikkeld)	TRUE
kh(sp)	houtkant met doornstruweel	TRUE
kh(sp+)	houtkant met doornstruweel, veel (en meestal goed ontwikkeld)	TRUE
kh(sz-)	houtkant met opslag van allerlei aard, weinig	TRUE
kh(sz)	houtkant met opslag van allerlei aard	FALSE
kh(sz+)	houtkant met opslag van allerlei aard, veel (en meestal goed ontwikkeld)	FALSE
kh(va-)	houtkant met alluviaal elzen-essenbos, weinig	FALSE
kh(va)	houtkant met alluviaal elzen-essenbos	FALSE
kh(va+)	houtkant met alluviaal elzen-essenbos, veel (en meestal goed ontwikkeld)	FALSE
kh(vc-)	houtkant met bronbos, weinig	FALSE
kh(vc)	houtkant met bronbos	FALSE
kh(vc+)	houtkant met bronbos, veel (en meestal goed ontwikkeld)	FALSE
kh(vf-)	houtkant met elzen-eikenbos, weinig	FALSE
kh(vf)	houtkant met elzen-eikenbos	FALSE
kh(vf+)	houtkant met elzen-eikenbos, veel (en meestal goed ontwikkeld)	FALSE
kh(vm-)	houtkant met elzenbroek, weinig	FALSE
kh(vm)	houtkant met elzenbroek	FALSE
kh(vm+)	houtkant met elzenbroek, veel (en meestal goed ontwikkeld)	FALSE
kh(vn-)	houtkant met nitrofiel alluviaal elzenbos, weinig	FALSE
kh(vn)	houtkant met nitrofiel alluviaal elzenbos	FALSE
kh(vn+)	houtkant met nitrofiel alluviaal elzenbos, veel (en meestal goed ontwikkeld)	FALSE
kh+	houtkant, goed ontwikkeld en/of veelvuldig voorkomend	TRUE
kha	houtkant met dominantie van els (Alnus sp.)	FALSE
kha-	houtkant met dominantie van els (Alnus sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
kha+	houtkant met dominantie van els (Alnus sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khac	houtkant met dominantie van esdoorn (Acer sp.)	FALSE
khac-	houtkant met dominantie van esdoorn (Acer sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
khac+	houtkant met dominantie van esdoorn (Acer sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khae	houtkant met dominantie van paardekastanje (Aesculus sp.)	FALSE
khae-	houtkant met dominantie van paardekastanje (Aesculus sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
khae+	houtkant met dominantie van paardekastanje (Aesculus sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khb	houtkant met dominantie van berk (Betulus sp.)	FALSE
khb-	houtkant met dominantie van berk (Betulus sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
khb+	houtkant met dominantie van berk (Betulus sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khc	houtkant met dominantie van tamme kastanje (Castanea sativa)	FALSE
khc-	houtkant met dominantie van tamme kastanje (Castanea sativa), zwak ontwikkeld en/of weinig voorkomend	FALSE
khc+	houtkant met dominantie van tamme kastanje (Castanea sativa), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khca	houtkant met dominantie van haagbeuk (Carpinus betulus)	FALSE
khca-	houtkant met dominantie van haagbeuk (Carpinus betulus), zwak ontwikkeld en/of weinig voorkomend	FALSE
khca+	houtkant met dominantie van haagbeuk (Carpinus betulus), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khco	houtkant met dominantie van hazelaar (Corylus avellana)	FALSE
khco-	houtkant met dominantie van hazelaar (Corylus avellana), zwak ontwikkeld en/of weinig voorkomend	FALSE
khco+	houtkant met dominantie van hazelaar (Corylus avellana), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khcr	houtkant met dominantie van meidoorn (Crataegus sp.)	FALSE
khcr-	houtkant met dominantie van meidoorn (Crataegus sp.), zwak ontwikkeld en/of weinig voorkomend	FALSE
khcr+	houtkant met dominantie van meidoorn (Crataegus sp.), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khf	houtkant met dominantie van beuk (Fagus sylvatica)	FALSE
khf-	houtkant met dominantie van beuk (Fagus sylvatica), zwak ontwikkeld en/of weinig voorkomend	FALSE
khf+	houtkant met dominantie van beuk (Fagus sylvatica), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
khfr	houtkant met dominantie van es (Fraxinus excelsior)	FALSE
khfr-	houtkant met dominantie van es (Fraxinus excelsior), zwak ontwikkeld en/of weinig voorkomend	FALSE
khfr+	houtkant met dominantie van es (Fraxinus excelsior), goed ontwikkeld en/of veelvuldig voorkomend	FALSE
